Car_ID,Year,Car_Make,Car_Model,totals,ranking
128,2010,Infiniti,G37,128,1
124,2015,Jeep,Wrangler,124,2
15,2014,Audi,S4,120,3
113,2012,Acura,Tsx sportwagon,116,4
83,2014,Honda,Accord,112,5
112,2008,Acura,TL,110,6
65,2009,Honda,Fit,106,7
50,2015,Acura,TLX,102,8
31,2007,Honda,Fit,102,9
91,2010,Mitsu,Lancer,102,10
216,2007,Chrystler,300,96,11
228,2010,Nissan,370,92,12
175,2006,Honda,Civic,92,13
126,2010,Volkswagen,Eos,92,14
13,2016,Honda,Civic 1.5t,92,15
127,2013,Acura,Tsx,86,16
63,2010,Honda,Civic,86,17
161,2012,Nissan,370z,84,18
3,2011,Nissan,370,84,19
57,2015,Scion,Frs,80,20
25,2012,Mercedes,C250,78,21
106,2007,Acura,Tl type s,78,22
39,2011,Honda,Civic,72,23
103,2010,Acura,Tsx,72,24
84,2012,Mercedes,Cl63amg,70,25
30,2012,Hyundai,Celoster,66,26
123,2006,Lexus,Sc430,66,27
1051,2006,Acura,Tsx,66,28
218,2010,Chevy,Camaro,64,29
41,2012,Acura,Tsx,64,30
158,2007,Nissan,350z,64,31
48,2015,Acura,TLX,62,32
21,2009,Subaru,WRX,62,33
23,1998,Subaru,Legacy,62,34
12,1990,Nissan,240,62,35
38,2017,Hyundai,Elantra sport,62,36
35,2016,Honda,Civic,60,37
53,2013,Subaru,WRX,60,38
142,1993,Toyota,Supra,58,39
110,2011,Toyota,Camry,58,40
156,2014,Volkswagen,Gli,56,41
115,2001,Honda,Crv,56,42
43,2011,Toyota,4 Runner,54,43
37,2015,Subaru,Sti,54,44
137,2017,Ford,Focus rs,54,45
6,2016,Volkswagen,Golf r,54,46
134,2013,Subaru,WRX,52,47
225,2016,Acura,TLX,52,48
51,2015,Subaru,WRX,50,49
5,2003,Acura,Rsx,50,50
170,2014,Chevy,Cruze,50,51
189,2012,Toyota,Fj cruiser,50,52
88,2008,Honda,Accord,48,53
104,2014,Honda,Civic si,48,54
52,2007,Mazda,Speed 3,48,55
211,2004,Acura,Tsx,48,56
232,2018,Subaru,WRX,46,57
8,1991,Nissan,Skyline,44,58
140,1995,Mitsu,Evo8,44,59
121,2012,Acura,TL,44,60
118,1993,Honda,Civic,44,61
122,2011,Infiniti,M37s,44,62
85,2017,Honda,Accord,42,63
56,2009,Volkswagen,Jetta,42,64
49,1997,Acura,Integra,42,65
45,2006,Acura,TL,42,66
222,2015,Lexus,Is250,40,67
207,1993,Honda,Civic eG,40,68
176,2014,Mitsu,Lancer,40,69
